Free:10, Fixed:3, Dims:3
-0.001958688032695722,0.04117225969362009,3.9888685737747416,0.008377575
-0.1996594032337909,-0.9316319425237344,3.8979897182752303,0.008377575
-0.9550568888031876,-0.3321035116314731,4.10822615879102,0.008377575
-0.8085645335783532,0.6180256900631748,3.924297282977524,0.008377575
0.015257046706755603,1.0957957246445567,4.057234536518044,0.008377575
0.4317388941221765,0.2717425546377992,3.8811162307671405,0.008377575
0.7413436290225738,-0.6340208575375481,4.021886156074131,0.008377575
-0.5631992016620019,-0.29628591866528403,3.2060561676381876,0.008377575
-0.10299703442279354,0.5876752008864311,3.185652427055457,0.008377575
0.41357444042673347,-0.2985384818116525,3.1133742998820706,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,0.5,60,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
