Free:10, Fixed:3, Dims:3
-0.0019586880326948703,-0.04117225969362043,3.9888685737747407,0.008377575
0.01525704670674307,-1.0957957246445567,4.057234536518039,0.008377575
-0.8085645335783613,-0.6180256900631649,3.9242972829775296,0.008377575
-0.9550568888031825,0.3321035116314847,4.108226158791012,0.008377575
-0.19965940323377881,0.9316319425237386,3.8979897182752357,0.008377575
0.7413436290225824,0.6340208575375407,4.021886156074126,0.008377575
0.431738894122176,-0.2717425546378052,3.881116230767142,0.008377575
-0.10299703442280898,-0.587675200886426,3.1856524270554556,0.008377575
-0.5631992016619887,0.2962859186652995,3.206056167638185,0.008377575
0.4135744404267427,0.2985384818116402,3.113374299882067,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,0.5,60,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
